title,arm,band,fits,app_id,year,base_type,familiarity,twist_present,max_novelty,twist_types,co_op,price,team_size,solo,is_sequel,is_licensed_IP,is_original,research_confidence,outcome_leaked,orig_fits,copies_m
Behind the Frame: The Finest Scenery,control,moderate,true,1531210,2022,established_videogame_genre_or_mode,3,true,4,mechanical_swap | narrative_reframe | aesthetic_reframe,false,12.99,,false,false,false,true,4,true,,
Predynastic Egypt,control,moderate,true,1367360,2020,established_videogame_genre_or_mode,4,true,3,accessibility_simplification | narrative_reframe,false,6.99,4,false,false,false,true,3,false,,
Scorn,control,moderate,true,1049410,2022,established_videogame_genre_or_mode,3,true,5,aesthetic_reframe | input_embodiment | narrative_reframe,false,39.99,20,false,false,false,true,4,false,,
KartKraft,control,moderate,true,406270,2021,real_world_game,4,true,4,mechanical_swap | aesthetic_reframe | co_op_social_layer,false,19.99,15,false,false,false,true,3,false,,
Viewfinder,control,moderate,true,1382360,2023,established_videogame_genre_or_mode,3,true,5,mechanical_swap | narrative_reframe | aesthetic_reframe,false,24.99,12,false,false,false,true,3,false,,
Techtonica,control,moderate,true,1457320,2023,established_videogame_genre_or_mode,3,true,3,aesthetic_reframe | input_embodiment | co_op_social_layer,true,24.99,15,false,false,false,true,3,false,,
1000xRESIST,control,moderate,true,1675350,2024,established_videogame_genre_or_mode,3,true,4,genre_fusion | narrative_reframe | aesthetic_reframe | mechanical_swap,false,19.99,7,false,false,false,true,4,true,,
Punch Club 2: Fast Forward,control,moderate,true,2154850,2024,established_videogame_genre_or_mode,3,true,3,genre_fusion | aesthetic_reframe | narrative_reframe | accessibility_simplification,false,19.99,15,false,true,false,false,4,true,,
Song of Horror,control,moderate,true,934160,2020,established_videogame_genre_or_mode,4,true,4,mechanical_swap | mechanical_swap | price_or_scope_disruption,false,5.99,15,false,false,false,true,4,false,,
MotoGP 20,control,moderate,false,1104870,2020,real_world_game,4,true,2,genre_fusion | narrative_reframe,false,49.99,,false,true,true,false,4,false,,
"Super Bunny Man - not applicable, excluded (not sports/racing)",control,moderate,true,,,established_videogame_genre_or_mode,3,true,4,physics_jank_emergence | co_op_social_layer | aesthetic_reframe,true,9.99,2,false,false,false,true,3,false,,
Visage,control,moderate,true,594330,2020,established_videogame_genre_or_mode,3,true,4,mechanical_swap | narrative_reframe | mechanical_swap | genre_fusion,false,29.99,8,false,false,false,true,4,false,,
Blood West,control,moderate,true,,2023,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | genre_fusion | procedural_roguelike_layer,false,14.99,10,false,false,false,true,4,true,,
Backrooms: Escape Together,control,moderate,true,1953520,2022,folklore_mythology,3,true,3,co_op_social_layer | procedural_roguelike_layer | aesthetic_reframe,true,8.99,1,true,false,false,false,3,true,,
Absolute Drift: Zen Edition,control,moderate,true,396750,2020,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | mechanical_swap | accessibility_simplification,false,14.99,1,true,false,false,true,4,false,,
Ride 4,control,moderate,true,1187430,2020,established_videogame_genre_or_mode,3,true,3,physics_jank_emergence | accessibility_simplification | mechanical_swap,true,59.99,,false,true,false,false,4,false,,
Under Night In-Birth II Sys:Celes,control,moderate,false,2141920,2023,established_videogame_genre_or_mode,3,true,2,mechanical_swap | accessibility_simplification,false,49.99,,false,true,false,false,4,false,,
Nightingale,control,moderate,true,1928980,2024,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | mechanical_swap | co_op_social_layer,true,39.99,100,false,false,false,true,4,true,,
Tormented Souls,control,moderate,true,1274570,2021,established_videogame_genre_or_mode,4,true,4,mechanical_swap | narrative_reframe | accessibility_simplification,false,24.99,5,false,false,false,true,4,true,,
Fallen: A2P Protocol,control,modest,true,,2024,established_videogame_genre_or_mode,3,true,3,mechanical_swap | narrative_reframe,false,14.99,,false,false,false,true,2,false,,
KILLBUG,control,modest,true,2211730,2023,established_videogame_genre_or_mode,3,true,4,genre_fusion | aesthetic_reframe | mechanical_swap | price_or_scope_disruption,false,6.99,6,false,false,false,true,3,true,,
Daymare: 1994 Sandcastle,control,modest,true,1670870,2023,established_videogame_genre_or_mode,4,true,3,mechanical_swap | accessibility_simplification,false,29.99,,false,true,false,false,3,true,,
Jenny LeClue - Detectivu,control,modest,true,410820,2021,established_videogame_genre_or_mode,3,true,4,narrative_reframe | aesthetic_reframe,false,19.99,2,false,false,false,true,4,true,,
Lorelai,control,modest,false,1039920,2020,established_videogame_genre_or_mode,3,true,2,narrative_reframe | mechanical_swap,false,14.99,,false,true,false,false,4,true,,
Ova Magica,control,modest,true,1299170,2024,established_videogame_genre_or_mode,4,true,4,genre_fusion | mechanical_swap | co_op_social_layer,false,19.99,4,false,false,false,true,4,true,,
Roundguard,control,modest,true,,2020,established_videogame_genre_or_mode,4,true,4,genre_fusion | mechanical_swap | procedural_roguelike_layer | aesthetic_reframe,false,19.99,3,false,false,false,true,4,false,,
Windjammers 2,control,modest,true,1341290,2022,established_videogame_genre_or_mode,3,true,3,mechanical_swap | mechanical_swap | aesthetic_reframe,true,19.99,,false,true,false,false,4,true,,
Venba,control,modest,true,1732190,2023,established_videogame_genre_or_mode,3,true,4,mechanical_swap | narrative_reframe | aesthetic_reframe,false,14.99,7,false,false,false,true,4,true,,
Farlanders,control,modest,true,1327460,2022,established_videogame_genre_or_mode,4,true,4,mechanical_swap | genre_fusion | genre_fusion | aesthetic_reframe,false,14.99,2,true,false,false,true,3,true,,
Void Bastards-like Void Scrappers,control,modest,true,,2022,established_videogame_genre_or_mode,4,true,3,genre_fusion | mechanical_swap | aesthetic_reframe,false,2.79,3,false,false,false,true,3,true,,
Vigil: The Longest Night,control,modest,true,,2020,established_videogame_genre_or_mode,3,true,3,genre_fusion | aesthetic_reframe | narrative_reframe,false,19.99,,false,false,false,true,3,true,,
First Cut: Samurai Duel,control,modest,true,2193490,2024,established_videogame_genre_or_mode,4,true,3,mechanical_swap | aesthetic_reframe | co_op_social_layer,true,8.99,1,true,false,false,true,3,true,,
Unworthy,control,modest,true,,2022,established_videogame_genre_or_mode,3,true,4,mechanical_swap | aesthetic_reframe,false,14.99,1,true,false,false,true,3,true,,
Cloud Gardens,control,modest,false,1200210,2021,original_no_clear_base,2,false,0,,false,14.99,1,true,false,false,true,4,true,,
Master of Magic (2022 remake),control,modest,false,1596720,2022,established_videogame_genre_or_mode,3,true,2,aesthetic_reframe | accessibility_simplification | mechanical_swap,false,39.99,,false,true,false,false,3,true,,
Kubifaktorium,control,modest,true,690820,2020,established_videogame_genre_or_mode,3,true,3,genre_fusion | aesthetic_reframe | mechanical_swap,false,19.99,2,false,false,false,true,3,true,,
EGG RAIDERS,control,modest,true,3253440,2024,established_videogame_genre_or_mode,3,true,3,aesthetic_reframe | mechanical_swap | price_or_scope_disruption,true,4.99,,false,false,false,true,3,true,,
Fort Triumph,control,modest,true,710990,2020,established_videogame_genre_or_mode,3,true,4,physics_jank_emergence | genre_fusion | aesthetic_reframe | co_op_social_layer,true,24.99,,,false,false,true,4,true,,
Zero Caliber 2 VR,control,modest,false,,2023,established_videogame_genre_or_mode,4,true,2,input_embodiment | co_op_social_layer,true,29.99,,false,true,false,false,3,true,,
Salt and Sacrifice,control,modest,true,1601580,2022,established_videogame_genre_or_mode,3,true,4,genre_fusion | co_op_social_layer,true,29.99,,false,true,false,false,4,false,,
Kathy Rain 2: Soothsayer,control,modest,true,1751740,2023,established_videogame_genre_or_mode,3,true,3,genre_fusion | narrative_reframe,false,19.99,8,false,true,false,false,3,true,,
Golf Club Wasteland,control,modest,true,1274420,2021,real_world_game,5,true,4,accessibility_simplification | narrative_reframe | genre_fusion,false,9.99,6,false,false,false,true,4,false,,
Farm for your Life,control,modest,true,266390,2020,established_videogame_genre_or_mode,3,true,4,genre_fusion | aesthetic_reframe | mechanical_swap,false,14.99,,false,false,false,true,3,true,,
Airborne Kingdom,control,modest,true,1211020,2020,established_videogame_genre_or_mode,4,true,4,mechanical_swap | physics_jank_emergence | aesthetic_reframe | accessibility_simplification,false,24.99,15,false,false,false,true,4,true,,
The Last Metal Shooter,control,flop,false,2076910,2022,established_videogame_genre_or_mode,3,true,2,mechanical_swap | price_or_scope_disruption,false,,1,true,false,false,true,2,false,,
Polygon Survival,control,flop,false,2618500,2024,established_videogame_genre_or_mode,4,false,1,aesthetic_reframe,false,0.99,1,true,false,false,true,2,true,,
Farmer Life Simulator,control,flop,false,1598920,2021,established_videogame_genre_or_mode,3,false,0,,true,3.99,,false,false,false,true,3,true,,
My Universe - Green Adventures - Farmer Friends,control,flop,false,1717260,2022,established_videogame_genre_or_mode,4,true,2,accessibility_simplification | aesthetic_reframe | narrative_reframe,false,24.99,,false,true,false,false,3,true,,
Space Chaos,control,flop,true,2819410,2024,established_videogame_genre_or_mode,4,true,3,aesthetic_reframe | mechanical_swap | procedural_roguelike_layer,true,,2,false,false,false,true,3,true,,
Blindfire,control,flop,true,2854480,2024,established_videogame_genre_or_mode,4,true,5,mechanical_swap | mechanical_swap | co_op_social_layer,false,8.99,,false,false,false,true,4,true,,
Placid Plastic Duck Simulator,control,moderate,true,2039180,2023,physical_party_activity,5,true,4,input_embodiment | aesthetic_reframe | accessibility_simplification | price_or_scope_disruption,false,1.99,3,false,false,false,true,3,true,,
Garden Story,control,moderate,true,1178970,2021,established_videogame_genre_or_mode,4,true,3,genre_fusion | mechanical_swap | aesthetic_reframe,false,19.99,1,true,false,false,true,4,true,,
Staxel,control,moderate,true,354200,2021,established_videogame_genre_or_mode,4,true,4,mechanical_swap | co_op_social_layer | genre_fusion,true,19.99,,false,false,false,true,3,false,,
Smalland: Survive the Wilds,control,moderate,true,768200,2023,established_videogame_genre_or_mode,4,true,3,aesthetic_reframe | mechanical_swap | co_op_social_layer,true,34.99,22,false,false,false,true,3,true,,
The Medium,control,moderate,true,1293160,2021,established_videogame_genre_or_mode,3,true,5,mechanical_swap | aesthetic_reframe | accessibility_simplification,false,49.99,60,false,false,false,true,4,true,,
Grand Theft Auto V,hit,hit,true,271590,2013,established_videogame_genre_or_mode,5,true,5,mechanical_swap | co_op_social_layer | narrative_reframe,true,59.99,1000,false,true,false,false,4,true,false,230
Black Myth: Wukong,hit,hit,true,2358720,2024,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | accessibility_simplification | mechanical_swap,false,59.99,140,false,false,false,true,4,true,false,30
Palworld,hit,hit,true,1623730,2024,established_videogame_genre_or_mode,5,true,4,genre_fusion | mechanical_swap | aesthetic_reframe | co_op_social_layer,true,29.99,100,false,false,false,true,4,false,true,25
Terraria,hit,hit,true,105600,2011,established_videogame_genre_or_mode,4,true,4,genre_fusion | mechanical_swap | co_op_social_layer | price_or_scope_disruption,true,9.99,4,false,false,false,true,4,false,true,70
Elden Ring,hit,hit,true,1245620,2022,established_videogame_genre_or_mode,3,true,4,genre_fusion | mechanical_swap | accessibility_simplification | mechanical_swap | narrative_reframe,true,59.99,300,false,false,false,true,4,true,false,30
Human: Fall Flat,hit,hit,true,477160,2016,established_videogame_genre_or_mode,3,true,4,input_embodiment | aesthetic_reframe | co_op_social_layer | genre_fusion,true,14.99,5,false,false,false,true,4,false,true,58
NARAKA: BLADEPOINT,hit,hit,true,1203220,2021,established_videogame_genre_or_mode,4,true,4,genre_fusion | mechanical_swap | co_op_social_layer,true,19.99,,false,false,false,true,4,false,true,10
Baldur's Gate 3,hit,hit,true,1086940,2023,established_videogame_genre_or_mode,3,true,4,genre_fusion | aesthetic_reframe | co_op_social_layer | narrative_reframe,true,59.99,400,false,true,true,false,4,false,false,20
Helldivers 2,hit,hit,true,553850,2024,established_videogame_genre_or_mode,3,true,4,mechanical_swap | input_embodiment | co_op_social_layer | aesthetic_reframe | procedural_roguelike_layer,true,39.99,105,false,true,false,false,4,true,true,20
Cyberpunk 2077,hit,hit,true,1091500,2020,established_videogame_genre_or_mode,4,true,3,genre_fusion | aesthetic_reframe | mechanical_swap,false,59.99,500,false,false,true,false,4,false,false,40
Hogwarts Legacy,hit,hit,true,990080,2023,licensed_or_franchise_IP,5,true,4,input_embodiment | genre_fusion | aesthetic_reframe | procedural_roguelike_layer,false,69.99,,false,false,true,false,4,false,false,40
It Takes Two,hit,hit,true,1426210,2021,established_videogame_genre_or_mode,3,true,5,co_op_social_layer | mechanical_swap | narrative_reframe | price_or_scope_disruption,true,39.99,80,false,false,false,true,4,false,true,30
Valheim,hit,hit,true,892970,2021,established_videogame_genre_or_mode,4,true,4,aesthetic_reframe | co_op_social_layer | mechanical_swap | price_or_scope_disruption,true,19.99,5,false,false,false,true,4,true,true,12
Stardew Valley,hit,hit,true,413150,2016,established_videogame_genre_or_mode,3,true,4,genre_fusion | accessibility_simplification | co_op_social_layer | price_or_scope_disruption,false,14.99,1,true,false,false,true,4,false,true,50
Among Us,hit,hit,true,945360,2018,real_world_game,4,true,4,input_embodiment | mechanical_swap | aesthetic_reframe | accessibility_simplification,true,4.99,3,false,false,false,true,4,true,true,8
No Man's Sky,hit,hit,true,275850,2016,established_videogame_genre_or_mode,4,true,4,procedural_roguelike_layer | mechanical_swap | aesthetic_reframe | co_op_social_layer,true,59.99,15,false,false,false,true,4,false,false,30
Sons Of The Forest,hit,hit,true,1326470,2023,established_videogame_genre_or_mode,4,true,4,co_op_social_layer | mechanical_swap | accessibility_simplification | mechanical_swap,true,29.99,25,false,true,false,false,4,false,false,14
Diablo IV,hit,hit,true,2344520,2023,established_videogame_genre_or_mode,4,true,3,co_op_social_layer | genre_fusion | aesthetic_reframe,true,69.99,300,false,true,false,false,4,false,false,10
PEAK,hit,hit,true,3527290,2025,established_videogame_genre_or_mode,3,true,4,co_op_social_layer | genre_fusion | physics_jank_emergence | price_or_scope_disruption,true,4.99,7,false,false,false,true,4,true,true,11
Phasmophobia,hit,hit,true,739630,2020,real_world_game,4,true,5,co_op_social_layer | input_embodiment | mechanical_swap | input_embodiment,true,13.99,1,true,false,false,true,3,false,true,25
Vampire Survivors,hit,hit,true,1794680,2022,established_videogame_genre_or_mode,3,true,5,input_embodiment | accessibility_simplification | procedural_roguelike_layer | price_or_scope_disruption,true,4.99,1,true,false,false,true,4,false,true,15
Monster Hunter Wilds,hit,hit,true,2246340,2025,established_videogame_genre_or_mode,4,true,3,mechanical_swap | input_embodiment | mechanical_swap | co_op_social_layer,true,69.99,,false,true,false,false,4,false,false,11.4
Enshrouded,hit,hit,true,1203620,2024,established_videogame_genre_or_mode,4,true,3,genre_fusion | mechanical_swap | input_embodiment | accessibility_simplification,true,29.99,58,false,false,false,true,4,true,true,5.5
Fall Guys: Ultimate Knockout,hit,hit,true,1097150,2020,established_videogame_genre_or_mode,4,true,4,aesthetic_reframe | genre_fusion | physics_jank_emergence | accessibility_simplification,false,19.99,40,false,false,false,true,4,false,true,11
Content Warning,hit,hit,true,2881650,2024,established_videogame_genre_or_mode,3,true,4,narrative_reframe | physics_jank_emergence | price_or_scope_disruption | procedural_roguelike_layer,true,7.99,5,false,false,false,true,4,true,true,6
Core Keeper,hit,hit,true,1621690,2024,established_videogame_genre_or_mode,4,true,3,aesthetic_reframe | genre_fusion | co_op_social_layer | procedural_roguelike_layer,true,14.99,15,false,false,false,true,4,,true,3
Balatro,hit,hit,true,2379780,2024,real_world_game,5,true,4,genre_fusion | mechanical_swap | procedural_roguelike_layer | aesthetic_reframe,false,14.99,1,true,false,false,true,4,false,true,6.5
Grounded,hit,hit,true,962130,2022,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | co_op_social_layer | narrative_reframe,true,29.99,,false,false,false,true,4,false,true,5
Dead by Daylight,hit,hit,true,381210,2016,physical_party_activity,5,true,4,mechanical_swap | co_op_social_layer | aesthetic_reframe | procedural_roguelike_layer,true,19.99,40,false,false,false,true,4,true,true,20
Manor Lords,hit,hit,true,1363080,2024,established_videogame_genre_or_mode,3,true,4,genre_fusion | mechanical_swap | aesthetic_reframe,false,29.99,9,false,false,false,true,4,true,false,3.5
V Rising,hit,hit,true,1604030,2022,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | mechanical_swap | genre_fusion | co_op_social_layer,true,19.99,35,false,false,false,true,4,false,true,5.5
Starfield,hit,hit,true,1716740,2023,established_videogame_genre_or_mode,4,true,3,genre_fusion | mechanical_swap | procedural_roguelike_layer,false,69.99,400,false,false,false,true,4,false,false,3
Assassin's Creed Valhalla,hit,hit,true,2208920,2020,established_videogame_genre_or_mode,4,true,3,mechanical_swap | aesthetic_reframe | mechanical_swap | mechanical_swap,false,59.99,1000,false,true,false,false,4,false,false,20
Split Fiction,hit,hit,true,2001120,2025,established_videogame_genre_or_mode,3,true,4,genre_fusion | narrative_reframe | price_or_scope_disruption | co_op_social_layer,true,49.99,80,false,false,false,true,4,true,false,7
STAR WARS Jedi: Fallen Order,hit,hit,true,1172380,2019,established_videogame_genre_or_mode,3,true,3,aesthetic_reframe | genre_fusion | accessibility_simplification,false,59.99,200,false,false,true,false,4,false,false,12
DAVE THE DIVER,hit,hit,true,1868140,2023,established_videogame_genre_or_mode,3,true,4,genre_fusion | procedural_roguelike_layer | aesthetic_reframe,false,19.99,20,false,false,false,true,4,false,true,8
Call of Duty: Modern Warfare II (2022),hit,hit,true,1938090,2022,established_videogame_genre_or_mode,5,true,4,genre_fusion | mechanical_swap | price_or_scope_disruption,true,69.99,2000,false,true,false,false,4,false,false,23
Clair Obscur: Expedition 33,hit,hit,true,1903340,2025,established_videogame_genre_or_mode,3,true,4,mechanical_swap | aesthetic_reframe | price_or_scope_disruption,false,49.99,33,false,false,false,true,4,false,true,8
Elden Ring Nightreign,hit,hit,true,2622380,2025,licensed_or_franchise_IP,5,true,4,procedural_roguelike_layer | co_op_social_layer | genre_fusion | mechanical_swap,true,39.99,,false,true,false,false,4,false,false,7.5
ARC Raiders,hit,hit,true,1808500,2025,established_videogame_genre_or_mode,3,true,3,mechanical_swap | genre_fusion | price_or_scope_disruption | aesthetic_reframe,true,39.99,,false,false,false,true,4,true,true,16
Dyson Sphere Program,hit,hit,true,1366540,2021,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | mechanical_swap | input_embodiment | procedural_roguelike_layer,false,19.99,4,false,false,false,true,4,false,true,3
Path of Exile 2,hit,hit,true,2694490,2024,established_videogame_genre_or_mode,4,true,4,genre_fusion | mechanical_swap | price_or_scope_disruption | accessibility_simplification,true,0,250,false,true,false,false,4,false,false,4.9
Satisfactory,hit,hit,true,526870,2024,established_videogame_genre_or_mode,4,true,4,input_embodiment | genre_fusion | co_op_social_layer,true,39.99,,false,false,false,true,5,false,true,8
WUCHANG: Fallen Feathers,hit,hit,true,2277560,2025,established_videogame_genre_or_mode,4,true,3,aesthetic_reframe | mechanical_swap | procedural_roguelike_layer,false,49.99,,false,false,false,true,4,true,false,1.2
Monster Hunter Rise,hit,hit,true,1446780,2021,established_videogame_genre_or_mode,3,true,3,mechanical_swap | co_op_social_layer | aesthetic_reframe | mechanical_swap,true,59.99,,false,true,false,false,4,false,false,18.6
Buckshot Roulette,hit,hit,true,2835570,2024,real_world_game,5,true,4,mechanical_swap | procedural_roguelike_layer | aesthetic_reframe | price_or_scope_disruption | co_op_social_layer,false,2.99,1,true,false,false,true,4,true,true,8
Deep Rock Galactic,hit,hit,true,548430,2020,established_videogame_genre_or_mode,3,true,4,mechanical_swap | co_op_social_layer | aesthetic_reframe | accessibility_simplification,true,29.99,15,false,false,false,true,4,true,true,10
Farming Simulator 22,hit,hit,true,1248130,2021,real_world_game,5,true,3,procedural_roguelike_layer | genre_fusion | co_op_social_layer | accessibility_simplification,true,39.99,,false,true,false,false,4,true,false,6
Sea of Thieves,hit,hit,true,1172620,2018,folklore_mythology,5,true,4,co_op_social_layer | accessibility_simplification | genre_fusion,true,59.99,150,false,false,false,true,4,false,true,40
Resident Evil Village,hit,hit,true,1196590,2021,established_videogame_genre_or_mode,4,true,4,genre_fusion | aesthetic_reframe | accessibility_simplification | co_op_social_layer,false,59.99,200,false,true,false,false,4,false,false,14.9
Forza Horizon 5,hit,hit,true,1551360,2021,established_videogame_genre_or_mode,4,true,3,co_op_social_layer | aesthetic_reframe | accessibility_simplification | procedural_roguelike_layer,true,59.99,400,false,true,false,false,5,false,false,8
Hunt: Showdown (now Hunt: Showdown 1896),hit,hit,true,594650,2019,established_videogame_genre_or_mode,3,true,4,genre_fusion | aesthetic_reframe | mechanical_swap | procedural_roguelike_layer,true,39.99,,false,false,false,true,4,false,true,10
Dead Cells,hit,hit,true,588650,2018,established_videogame_genre_or_mode,3,true,4,genre_fusion | mechanical_swap | procedural_roguelike_layer,false,24.99,15,false,false,false,true,4,false,true,11
NEEDY STREAMER OVERLOAD (JP: Needy Girl Overdose),hit,hit,true,1451940,2022,real_world_game,5,true,4,aesthetic_reframe | mechanical_swap | genre_fusion,false,9.99,1,true,false,false,true,4,false,true,3
Atomic Heart,hit,hit,true,668580,2023,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | mechanical_swap | genre_fusion,false,59.99,,false,false,false,true,4,false,false,4.5
Cult of the Lamb,hit,hit,true,1313140,2022,established_videogame_genre_or_mode,3,true,4,genre_fusion | aesthetic_reframe | narrative_reframe,false,24.99,15,false,false,false,true,4,true,true,7
Megabonk,hit,hit,true,3405340,2025,established_videogame_genre_or_mode,4,true,4,mechanical_swap | genre_fusion | aesthetic_reframe,false,9.99,1,true,false,false,true,4,true,true,2
Mortal Kombat 1,hit,hit,true,1971870,2023,established_videogame_genre_or_mode,5,true,4,mechanical_swap | procedural_roguelike_layer | narrative_reframe,false,69.99,300,false,true,false,false,4,false,false,8
NBA 2K24,hit,hit,true,2338770,2023,real_world_game,5,true,3,mechanical_swap | co_op_social_layer | narrative_reframe,true,59.99,200,false,true,true,false,3,false,false,9
Nioh 2,hit,hit,true,1325200,2020,established_videogame_genre_or_mode,3,true,4,genre_fusion | mechanical_swap | aesthetic_reframe | accessibility_simplification,true,59.99,150,false,true,false,false,4,false,true,3.2
Cities: Skylines II,hit,hit,false,949230,2023,established_videogame_genre_or_mode,4,true,2,mechanical_swap | accessibility_simplification | aesthetic_reframe,false,49.99,40,false,true,false,false,4,true,false,2.15
Ghost of Tsushima,hit,hit,true,2215430,2020,established_videogame_genre_or_mode,3,true,4,aesthetic_reframe | accessibility_simplification | genre_fusion,false,59.99,160,false,false,false,true,4,true,true,13
Remnant 2,hit,hit,true,1282100,2023,established_videogame_genre_or_mode,4,true,3,genre_fusion | procedural_roguelike_layer | co_op_social_layer | mechanical_swap,true,49.99,,false,true,false,false,4,true,true,3.5
Call of Duty: Black Ops 6,hit,hit,true,2933620,2024,established_videogame_genre_or_mode,5,true,4,mechanical_swap | price_or_scope_disruption | narrative_reframe,true,69.99,1000,false,true,false,false,4,false,false,14
Battlefield 6,hit,hit,true,2807960,2025,established_videogame_genre_or_mode,4,true,3,input_embodiment | genre_fusion | co_op_social_layer,true,69.99,500,false,true,false,false,4,true,false,20
